Time	Channel Voltage	Channel Current	Channel LP1	Channel LP2
(us)	(V)	(V)	(V)	(V)

85.82799751	5.94918776	0.56877458	-4.83821344	-0.19654281
85.83199751	5.94918776	0.56877458	-4.83513784	-0.19638902
85.83599751	5.94918776	0.56877458	-4.83206224	-0.19623524
85.83999751	6.11035919	0.56877458	-4.82898617	-0.19592765
85.84399751	6.11035919	0.56877458	-4.82591057	-0.19577385
85.84799751	5.94918776	0.56877458	-4.82283497	-0.19562007
85.85199751	5.94918776	0.56877458	-4.81975889	-0.19546628
85.85599751	5.94918776	0.56877458	-4.81668282	-0.19515871
85.85999751	5.94918776	0.56877458	-4.81360722	-0.19500493
85.86399751	6.11035919	0.56877458	-4.81053162	-0.19469735
85.86799751	5.94918776	0.56877458	-4.80745602	-0.19454354
85.87199751	5.94918776	0.56877458	-4.80437994	-0.19423597
85.87599751	5.94918776	0.56877458	-4.80130386	-0.19408219
85.87999751	5.94918776	0.55296504	-4.79822826	-0.19377461
85.88399751	6.11035919	0.56877458	-4.79515266	-0.19362080
85.88799751	5.94918776	0.56877458	-4.79207659	-0.19331323
85.89199751	5.94918776	0.56877458	-4.78900099	-0.19315945
85.89599751	5.94918776	0.56877458	-4.78592491	-0.19285187
85.89999751	5.94918776	0.55296504	-4.78284931	-0.19269808
85.90399751	5.94918776	0.55296504	-4.77823591	-0.19239050
85.90799751	5.94918776	0.55296504	-4.77515984	-0.19223672
85.91199751	5.94918776	0.56877458	-4.77054644	-0.19192913
85.91599751	5.94918776	0.56877458	-4.76747036	-0.19162156
85.91999751	5.94918776	0.56877458	-4.76285648	-0.19146776
85.92399751	5.94918776	0.56877458	-4.75978088	-0.19116017
85.92799751	5.94918776	0.55296504	-4.75516748	-0.19100639
85.93199751	5.94918776	0.56877458	-4.75209141	-0.19069882
85.93599751	5.94918776	0.56877458	-4.74747753	-0.19039124
85.93999751	5.94918776	0.56877458	-4.74440193	-0.19023745
85.94399751	5.94918776	0.56877458	-4.73978853	-0.18992987
85.94799751	5.94918776	0.56877458	-4.73517466	-0.18962228
85.95199751	5.78863192	0.56877458	-4.73056126	-0.18931471
85.95599751	5.94918776	0.56877458	-4.72748518	-0.18900713
85.95999751	5.94918776	0.56877458	-4.72287130	-0.18885335
85.96399751	5.94918776	0.56877458	-4.71825790	-0.18854576
85.96799751	5.94918776	0.56877458	-4.71364403	-0.18823819
85.97199751	5.94918776	0.56877458	-4.70903015	-0.18793061
85.97599751	5.94918776	0.55296504	-4.70441675	-0.18777682
85.97999751	5.94918776	0.55296504	-4.69980288	-0.18746924
85.98399751	5.94918776	0.55296504	-4.69518948	-0.18731546
85.98799751	5.94918776	0.56877458	-4.69057608	-0.18700787
85.99199751	5.94918776	0.56877458	-4.68596220	-0.18670030
85.99599751	5.94918776	0.56877458	-4.68134832	-0.18654650
85.99999751	5.94918776	0.56877458	-4.67673492	-0.18623891
86.00399751	5.94918776	0.55296504	-4.67212105	-0.18593134
86.00799751	5.94918776	0.55296504	-4.66596985	-0.18577756
86.01199751	5.94918776	0.56877458	-4.66135597	-0.18546999
86.01599751	5.94918776	0.56877458	-4.65674210	-0.18531619
86.01999751	5.94918776	0.56877458	-4.65212870	-0.18500862
86.02399751	5.94918776	0.55296504	-4.64751482	-0.18485484
86.02799751	5.94918776	0.55296504	-4.64290094	-0.18454725
86.03199751	5.94918776	0.55296504	-4.63828754	-0.18439345
86.03599751	5.94918776	0.55296504	-4.63367367	-0.18408588
86.03999751	6.11035919	0.55296504	-4.62752247	-0.18377829
86.04399751	5.94918776	0.56877458	-4.62290859	-0.18362451
86.04799751	5.94918776	0.56877458	-4.61829472	-0.18331693
86.05199751	5.94918776	0.55296504	-4.61368132	-0.18316314
86.05599751	5.94918776	0.56877458	-4.60906744	-0.18285556
86.05999751	5.94918776	0.55296504	-4.60445356	-0.18270178
86.06399751	6.11035919	0.55296504	-4.59984016	-0.18239421
86.06799751	5.94918776	0.56877458	-4.59522629	-0.18224040
86.07199751	6.11035919	0.56877458	-4.59061241	-0.18193282
86.07599751	6.11035919	0.55296504	-4.58599901	-0.18177904
86.07999751	5.94918776	0.56877458	-4.58292341	-0.18147147
86.08399751	6.11035919	0.55296504	-4.57830954	-0.18131766
86.08799751	6.11035919	0.55296504	-4.57369614	-0.18101008
86.09199751	6.11035919	0.55296504	-4.57062006	-0.18085630
86.09599751	6.11035919	0.55296504	-4.56600618	-0.18054873
86.09999751	6.11035919	0.55296504	-4.56139278	-0.18039493
86.10399751	6.11035919	0.55296504	-4.55831671	-0.18024115
86.10799751	6.11035919	0.55296504	-4.55370331	-0.17993358
86.11199751	6.11035919	0.55296504	-4.55062771	-0.17977977
86.11599751	6.11035919	0.55296504	-4.54601383	-0.17947219
86.11999751	6.11035919	0.55296504	-4.54293776	-0.17916462
86.12399751	6.11035919	0.55296504	-4.53986216	-0.17901084
86.12799751	6.11035919	0.55296504	-4.53678656	-0.17870325
86.13199751	6.11035919	0.55296504	-4.53371048	-0.17854945
86.13599751	6.11035919	0.55296504	-4.52909708	-0.17824188
86.13999751	6.11035919	0.56877458	-4.52602100	-0.17808810
86.14399751	6.11035919	0.55296504	-4.52294540	-0.17778052
86.14799750	6.11035919	0.55296504	-4.51833153	-0.17762673
86.15199750	6.11035919	0.55296504	-4.51525593	-0.17747295
86.15599750	6.11035919	0.56877458	-4.51218033	-0.17716534
86.15999750	6.11035919	0.56877458	-4.50910425	-0.17701156
86.16399750	6.11035919	0.55296504	-4.50602865	-0.17670399
86.16799750	6.11035919	0.55296504	-4.50295258	-0.17639640
86.17199750	6.11035919	0.55296504	-4.49987698	-0.17624260
86.17599750	6.11035919	0.55296504	-4.49680138	-0.17593503
86.17999750	6.11035919	0.55296504	-4.49218750	-0.17562746
86.18399750	6.27091551	0.55296504	-4.48911142	-0.17547368
86.18799750	6.11035919	0.55296504	-4.48603582	-0.17516610
86.19199750	6.11035919	0.55296504	-4.48296022	-0.17485851
86.19599750	6.11035919	0.55296504	-4.47988415	-0.17455094
86.19999750	6.11035919	0.55296504	-4.47680855	-0.17424336
86.20399750	6.11035919	0.55296504	-4.47373295	-0.17393577
86.20799750	6.11035919	0.55296504	-4.47065735	-0.17378198
86.21199750	6.11035919	0.55296504	-4.46758127	-0.17347440
86.21599750	6.11035919	0.55296504	-4.46450520	-0.17316683
86.21999750	6.11035919	0.55296504	-4.46142960	-0.17285925
86.22399750	6.11035919	0.55296504	-4.45681620	-0.17255166
86.22799750	6.11035919	0.55296504	-4.45374012	-0.17224409
86.23199750	6.11035919	0.55296504	-4.45066404	-0.17193651
86.23599750	6.27091551	0.55296504	-4.44758844	-0.17162892
86.23999750	6.11035919	0.55296504	-4.44297504	-0.17132135
86.24399750	6.11035919	0.55296504	-4.43989897	-0.17101377
86.24799750	6.11035919	0.55296504	-4.43682337	-0.17070620
86.25199750	6.11035919	0.55296504	-4.43220997	-0.17039862
86.25599750	6.11035919	0.55296504	-4.42913389	-0.17009103
86.25999750	6.11035919	0.55296504	-4.42605782	-0.16978346
86.26399750	6.11035919	0.55296504	-4.42298222	-0.16962968
86.26799750	6.11035919	0.55296504	-4.41836882	-0.16932210
86.27199750	6.11035919	0.55296504	-4.41529274	-0.16901451
86.27599750	5.94918776	0.55296504	-4.41221714	-0.16870694
86.27999750	6.11035919	0.55296504	-4.40760326	-0.16839936
86.28399750	6.11035919	0.55296504	-4.40452766	-0.16809179
86.28799750	6.11035919	0.55296504	-4.39991379	-0.16778421
86.29199750	6.11035919	0.55296504	-4.39683819	-0.16747662
86.29599750	6.11035919	0.55296504	-4.39376259	-0.16716905
86.29999750	6.11035919	0.55296504	-4.38914871	-0.16701525
86.30399750	6.11035919	0.55296504	-4.38453484	-0.16670766
86.30799750	6.11035919	0.55296504	-4.37992144	-0.16640009
86.31199750	6.11035919	0.55296504	-4.37684536	-0.16624631
86.31599750	6.11035919	0.55296504	-4.37223148	-0.16593874
86.31999750	6.11035919	0.55296504	-4.36761808	-0.16578494
86.32399750	5.94918776	0.55296504	-4.36454248	-0.16547737
86.32799750	5.94918776	0.55296504	-4.35992861	-0.16516978
86.33199750	6.11035919	0.55296504	-4.35531521	-0.16501600
86.33599750	6.11035919	0.55296504	-4.35070133	-0.16486220
